country,district,segment,lid,official_value
新北市,新莊區,海山頭段三角子小段,01710006,43100
新北市,新莊區,海山頭段三角子小段,01710007,43100
新北市,新莊區,海山頭段三角子小段,01710008,36500
新北市,新莊區,海山頭段三角子小段,01710009,36500
新北市,新莊區,海山頭段三角子小段,01710010,36500
新北市,新莊區,海山頭段三角子小段,01710011,36500
新北市,新莊區,海山頭段三角子小段,01710012,36500
新北市,新莊區,海山頭段三角子小段,01710013,36500
新北市,新莊區,海山頭段三角子小段,01710014,36500
新北市,新莊區,海山頭段三角子小段,01710015,36500
新北市,新莊區,海山頭段三角子小段,01710016,36500
新北市,新莊區,海山頭段三角子小段,01710017,36500
新北市,新莊區,海山頭段三角子小段,01710018,36500
新北市,新莊區,海山頭段三角子小段,01710019,43100
新北市,新莊區,海山頭段三角子小段,01710020,36500
新北市,新莊區,海山頭段三角子小段,01710021,36500
新北市,新莊區,海山頭段三角子小段,01710022,36500
新北市,新莊區,海山頭段三角子小段,01710023,36500
新北市,新莊區,海山頭段三角子小段,01710024,36500
新北市,新莊區,海山頭段三角子小段,01710025,43100
新北市,新莊區,海山頭段三角子小段,01710026,36500
新北市,新莊區,海山頭段三角子小段,01710027,43100
新北市,新莊區,海山頭段三角子小段,01710028,43100
新北市,新莊區,海山頭段三角子小段,01710029,36500
新北市,新莊區,海山頭段三角子小段,01710030,36500
新北市,新莊區,海山頭段三角子小段,01710031,36500
新北市,新莊區,海山頭段三角子小段,01710032,36500
新北市,新莊區,海山頭段三角子小段,01710033,43100
新北市,新莊區,海山頭段三角子小段,01710034,43100
新北市,新莊區,海山頭段三角子小段,01710035,43100
新北市,新莊區,海山頭段三角子小段,01710036,36500
新北市,新莊區,海山頭段三角子小段,01710037,36500
新北市,新莊區,海山頭段三角子小段,01710038,43100
新北市,新莊區,海山頭段三角子小段,01710039,36500
新北市,新莊區,海山頭段三角子小段,01710040,36500
新北市,新莊區,海山頭段三角子小段,01710041,36500
新北市,新莊區,海山頭段三角子小段,01710042,36500
新北市,新莊區,海山頭段三角子小段,01710043,43100
新北市,新莊區,海山頭段三角子小段,01720000,77900
新北市,新莊區,海山頭段三角子小段,01720001,54781
新北市,新莊區,海山頭段三角子小段,01720002,77384
新北市,新莊區,海山頭段三角子小段,01720003,77900
新北市,新莊區,海山頭段三角子小段,01720004,77900
新北市,新莊區,海山頭段三角子小段,01720007,54781
新北市,新莊區,海山頭段三角子小段,01720008,54781
新北市,新莊區,海山頭段三角子小段,01720009,36500
新北市,新莊區,海山頭段三角子小段,01720010,43100
新北市,新莊區,海山頭段三角子小段,01720011,36500
新北市,新莊區,海山頭段三角子小段,01720012,43100
新北市,新莊區,海山頭段三角子小段,01720013,43100
新北市,新莊區,海山頭段三角子小段,01720014,36500
新北市,新莊區,海山頭段三角子小段,01720015,36500
新北市,新莊區,海山頭段三角子小段,01720016,36500
新北市,新莊區,海山頭段三角子小段,01720017,49600
新北市,新莊區,海山頭段三角子小段,01720018,54781
新北市,新莊區,海山頭段三角子小段,01720019,54781
新北市,新莊區,海山頭段三角子小段,01720020,36500
新北市,新莊區,海山頭段三角子小段,01720021,36500
新北市,新莊區,海山頭段三角子小段,01720022,54781
新北市,新莊區,海山頭段三角子小段,01720023,49600
新北市,新莊區,海山頭段三角子小段,01720024,77900
新北市,新莊區,海山頭段三角子小段,01720025,77900
新北市,新莊區,海山頭段三角子小段,01720026,77900
新北市,新莊區,海山頭段三角子小段,01720027,54781
新北市,新莊區,海山頭段三角子小段,01720028,54781
新北市,新莊區,海山頭段三角子小段,01720029,54781
新北市,新莊區,海山頭段三角子小段,01720030,77900
新北市,新莊區,海山頭段三角子小段,01720031,54781
新北市,新莊區,海山頭段三角子小段,01720032,36500
新北市,新莊區,海山頭段三角子小段,01720033,36500
新北市,新莊區,海山頭段三角子小段,01720034,36500
新北市,新莊區,海山頭段三角子小段,01720035,36500
新北市,新莊區,海山頭段三角子小段,01720036,36500
新北市,新莊區,海山頭段三角子小段,01720037,36500
新北市,新莊區,海山頭段三角子小段,01720038,53922
新北市,新莊區,海山頭段三角子小段,01720039,77900
新北市,新莊區,海山頭段三角子小段,01720040,49600
新北市,新莊區,海山頭段三角子小段,01720041,36500
新北市,新莊區,海山頭段三角子小段,01720042,36500
新北市,新莊區,海山頭段三角子小段,01720043,36500
新北市,新莊區,海山頭段三角子小段,01720044,77900
新北市,新莊區,海山頭段三角子小段,01720048,36500
新北市,新莊區,海山頭段三角子小段,01720049,54781
